playerid,yearid,teamid,lgid,round,pos,g,gs,innouts,po,a,e,dp,tp,pb,sb,cs
milledo02,1909,PIT,NL,WS,2B,7,7,183,17,14,1,1,false,,,
phillde01,1909,PIT,NL,WS,P,2,0,18,1,2,2,0,false,,0,1
wagneho01,1909,PIT,NL,WS,SS,7,7,183,13,25,3,1,false,,,
willivi01,1909,PIT,NL,WS,P,2,1,35,1,2,0,0,false,,2,1
wilsoch01,1909,PIT,NL,WS,RF,7,7,183,3,1,0,0,false,,,
archeji01,1910,CHN,NL,WS,1B,1,0,20,9,0,0,1,false,,,
archeji01,1910,CHN,NL,WS,C,2,2,57,18,4,0,1,false,0,4,1
brownmo01,1910,CHN,NL,WS,P,3,2,54,0,10,1,0,false,,6,1
chancfr01,1910,CHN,NL,WS,1B,5,5,112,52,3,0,2,false,,,
coleki01,1910,CHN,NL,WS,P,1,1,24,1,3,0,1,false,,0,1
hofmaso01,1910,CHN,NL,WS,CF,5,5,132,7,0,0,0,false,,,
klingjo01,1910,CHN,NL,WS,C,3,3,75,11,7,0,0,false,0,3,6
mcintha01,1910,CHN,NL,WS,P,2,0,16,0,1,1,0,false,,0,1
overaor01,1910,CHN,NL,WS,P,1,1,9,0,0,0,0,false,,1,2
pfiesja01,1910,CHN,NL,WS,P,1,0,20,0,1,0,0,false,,0,1
reulbed01,1910,CHN,NL,WS,P,1,1,6,0,1,0,0,false,,0,1
richile01,1910,CHN,NL,WS,P,1,0,3,0,0,0,0,false,,0,0
schulfr01,1910,CHN,NL,WS,RF,5,5,132,4,0,0,0,false,,,
sheckji01,1910,CHN,NL,WS,LF,5,5,132,7,2,1,0,false,,,
steinha01,1910,CHN,NL,WS,3B,5,5,132,2,12,4,0,false,,,
tinkejo01,1910,CHN,NL,WS,SS,5,5,132,10,14,1,2,false,,,
zimmehe01,1910,CHN,NL,WS,2B,5,5,132,11,18,1,1,false,,,
bakerfr01,1910,PHA,AL,WS,3B,5,5,137,8,11,2,2,false,,,
barryja01,1910,PHA,AL,WS,SS,5,5,137,9,12,0,1,false,,,
bendech01,1910,PHA,AL,WS,P,2,2,56,1,2,0,1,false,,1,5
collied01,1910,PHA,AL,WS,2B,5,5,137,17,18,0,4,false,,,
coombja01,1910,PHA,AL,WS,P,3,3,81,1,3,2,0,false,,2,3
