playerid,yearid,votedby,ballots,needed,votes,inducted,category,needed_note
vanceda01,1939,BBWAA,274,206,15,false,Player,
klingjo01,1939,BBWAA,274,206,14,false,Player,
ruckena01,1939,BBWAA,274,206,13,false,Player,
tinkejo01,1939,BBWAA,274,206,12,false,Player,
adamsba01,1939,BBWAA,274,206,11,false,Player,
traynpi01,1939,BBWAA,274,206,10,false,Player,
heilmha01,1939,BBWAA,274,206,8,false,Player,
roushed01,1939,BBWAA,274,206,8,false,Player,
careyma01,1939,BBWAA,274,206,7,false,Player,
dinnebi01,1939,BBWAA,274,206,7,false,Player,
nichoki01,1939,BBWAA,274,206,7,false,Player,
altroni01,1939,BBWAA,274,206,6,false,Player,
chesbja01,1939,BBWAA,274,206,6,false,Player,
crawfsa01,1939,BBWAA,274,206,6,false,Player,
lewisdu01,1939,BBWAA,274,206,6,false,Player,
rusieam01,1939,BBWAA,274,206,6,false,Player,
stengca01,1939,BBWAA,274,206,6,false,Manager,
donlimi01,1939,BBWAA,274,206,5,false,Player,
hoopeha01,1939,BBWAA,274,206,5,false,Player,
kerrdi01,1939,BBWAA,274,206,5,false,Player,
wallabo01,1939,BBWAA,274,206,5,false,Player,
gowdyha01,1939,BBWAA,274,206,4,false,Player,
marquru01,1939,BBWAA,274,206,4,false,Player,
mcinnst01,1939,BBWAA,274,206,4,false,Player,
wheatza01,1939,BBWAA,274,206,4,false,Player,
archeji01,1939,BBWAA,274,206,3,false,Player,
combsea01,1939,BBWAA,274,206,3,false,Player,
faberre01,1939,BBWAA,274,206,3,false,Player,
mccarjo99,1939,BBWAA,274,206,3,false,Manager,
tennefr02,1939,BBWAA,274,206,3,false,Player,
bushdo01,1939,BBWAA,274,206,2,false,Player,
carribi02,1939,BBWAA,274,206,2,false,Player,
cravaga01,1939,BBWAA,274,206,2,false,Player,
crigelo01,1939,BBWAA,274,206,2,false,Player,
donovbi01,1939,BBWAA,274,206,2,false,Player,
ewingbu01,1939,BBWAA,274,206,2,false,Player,
granted01,1939,BBWAA,274,206,2,false,Player,
loberha01,1939,BBWAA,274,206,2,false,Player,
schreos01,1939,BBWAA,274,206,2,false,Player,
woodjo02,1939,BBWAA,274,206,2,false,Player,
bancrda01,1939,BBWAA,274,206,1,false,Player,
barryja01,1939,BBWAA,274,206,1,false,Player,
bergema01,1939,BBWAA,274,206,1,false,Player,
bradlbi01,1939,BBWAA,274,206,1,false,Player,
burnsge01,1939,BBWAA,274,206,1,false,Player,
coopewi01,1939,BBWAA,274,206,1,false,Player,
crossla01,1939,BBWAA,274,206,1,false,Player,
daubeja01,1939,BBWAA,274,206,1,false,Player,
doylela01,1939,BBWAA,274,206,1,false,Player,
fletcar01,1939,BBWAA,274,206,1,false,Player,
frasech01,1939,BBWAA,274,206,1,false,Player,
gleaski01,1939,BBWAA,274,206,1,false,Player,
grimebu01,1939,BBWAA,274,206,1,false,Player,
grimmch01,1939,BBWAA,274,206,1,false,Player,
hahnno01,1939,BBWAA,274,206,1,false,Player,
haineje01,1939,BBWAA,274,206,1,false,Player,
harribu01,1939,BBWAA,274,206,1,false,Manager,
hoytwa01,1939,BBWAA,274,206,1,false,Player,
irwinch01,1939,BBWAA,274,206,1,false,Player,
jonessa01,1939,BBWAA,274,206,1,false,Player,
kellejo01,1939,BBWAA,274,206,1,false,Player,
knabeot01,1939,BBWAA,274,206,1,false,Player,
leachto01,1939,BBWAA,274,206,1,false,Player,
longhe01,1939,BBWAA,274,206,1,false,Player,
luquedo01,1939,BBWAA,274,206,1,false,Player,
mageesh01,1939,BBWAA,274,206,1,false,Player,
moranpa01,1939,BBWAA,274,206,1,false,Player,
nehfar01,1939,BBWAA,274,206,1,false,Player,
peckiro01,1939,BBWAA,274,206,1,false,Player,
peitzhe01,1939,BBWAA,274,206,1,false,Player,
perduhu01,1939,BBWAA,274,206,1,false,Player,
phillde01,1939,BBWAA,274,206,1,false,Player,
schacal01,1939,BBWAA,274,206,1,false,Player,
scottev01,1939,BBWAA,274,206,1,false,Player,
shockur01,1939,BBWAA,274,206,1,false,Player,
stahlja01,1939,BBWAA,274,206,1,false,Player,
steinha01,1939,BBWAA,274,206,1,false,Player,
wilsoha01,1939,BBWAA,274,206,1,false,Player,
ansonca01,1939,Old Timers,,,,true,Player,
comisch01,1939,Old Timers,,,,true,Pioneer/Executive,
cummica01,1939,Old Timers,,,,true,Pioneer/Executive,
ewingbu01,1939,Old Timers,,,,true,Player,
gehrilo01,1939,Special Election,,,,true,Player,
radboch01,1939,Old Timers,,,,true,Player,
spaldal01,1939,Old Timers,,,,true,Pioneer/Executive,
hornsro01,1942,BBWAA,233,175,182,true,Player,
chancfr01,1942,BBWAA,233,175,136,false,Player,
wadderu01,1942,BBWAA,233,175,136,false,Player,
walshed01,1942,BBWAA,233,175,113,false,Player,
huggimi01,1942,BBWAA,233,175,111,false,Manager,
delahed01,1942,BBWAA,233,175,104,false,Player,
eversjo01,1942,BBWAA,233,175,91,false,Player,
robinwi01,1942,BBWAA,233,175,89,false,Manager,
cochrmi01,1942,BBWAA,233,175,88,false,Player,
friscfr01,1942,BBWAA,233,175,84,false,Player,
duffyhu01,1942,BBWAA,233,175,77,false,Player,
pennohe01,1942,BBWAA,233,175,72,false,Player,
griffcl01,1942,BBWAA,233,175,71,false,Pioneer/Executive,
colliji01,1942,BBWAA,233,175,68,false,Player,
maranra01,1942,BBWAA,233,175,66,false,Player,
jennihu01,1942,BBWAA,233,175,64,false,Player,
brownmo01,1942,BBWAA,233,175,63,false,Player,
planked01,1942,BBWAA,233,175,63,false,Player,
mcginjo01,1942,BBWAA,233,175,59,false,Player,
clarkfr01,1942,BBWAA,233,175,58,false,Player,
bresnro01,1942,BBWAA,233,175,57,false,Player,
bendech01,1942,BBWAA,233,175,55,false,Player,
schalra01,1942,BBWAA,233,175,53,false,Player,
traynpi01,1942,BBWAA,233,175,45,false,Player,
youngro01,1942,BBWAA,233,175,44,false,Player,
bakerfr01,1942,BBWAA,233,175,39,false,Player,
vanceda01,1942,BBWAA,233,175,37,false,Player,
terrybi01,1942,BBWAA,233,175,36,false,Player,
tinkejo01,1942,BBWAA,233,175,36,false,Player,
jossad01,1942,BBWAA,233,175,33,false,Player,
klingjo01,1942,BBWAA,233,175,15,false,Player,
ruckena01,1942,BBWAA,233,175,15,false,Player,
adamsba01,1942,BBWAA,233,175,11,false,Player,
gowdyha01,1942,BBWAA,233,175,8,false,Player,
nichoki01,1942,BBWAA,233,175,5,false,Player,
burkeje01,1942,BBWAA,233,175,4,false,Player,
heilmha01,1942,BBWAA,233,175,4,false,Player,
granted01,1942,BBWAA,233,175,3,false,Player,
rickebr01,1942,BBWAA,233,175,3,false,Pioneer/Executive,
wheatza01,1942,BBWAA,233,175,3,false,Player,
bushdo01,1942,BBWAA,233,175,2,false,Player,
crawfsa01,1942,BBWAA,233,175,2,false,Player,
martipe01,1942,BBWAA,233,175,2,false,Player,
peckiro01,1942,BBWAA,233,175,2,false,Player,
wallabo01,1942,BBWAA,233,175,2,false,Player,
beaumgi01,1942,BBWAA,233,175,1,false,Player,
becklja01,1942,BBWAA,233,175,1,false,Player,
boleyjo01,1942,BBWAA,233,175,1,false,Player,
bradlbi01,1942,BBWAA,233,175,1,false,Player,
crossla01,1942,BBWAA,233,175,1,false,Player,
dinnebi01,1942,BBWAA,233,175,1,false,Player,
